filename_prefix,url,ref_title,authors,ref_year,ref_source,scale_denominator
,https://repository.arizona.edu/handle/10150/629466,Earth Materials Evaluation - Arizona Rare II Areas,"Peirce, H.W.",1983,"Arizona Geological Survey Open File Report, OFR-83-13, 19 p.",
,https://repository.arizona.edu/handle/10150/629467,The Mississippian and Pennsylvanian (Carboniferous) Systems in the United States - Arizona,"Peirce, H.W.",1981,"Arizona Geological Survey, Circulars (C)-21, 28 p.",
,https://repository.arizona.edu/handle/10150/629468,Recovery of Metal Values Prior to Reclamation of Mined Areas in the Southwest,"Rabb, D.D.",1980,"Arizona Geological Survey Open File Report, OFR-80-14, 49 p.",
,https://repository.arizona.edu/handle/10150/629469,"Annual OIL, GAS, and HELIUM* production in Arizona: 1954 - 2009","Rauzi, S.L.",2010,"Arizona Geological Survey, Oil and Gas (OG)-2, 26 p.",
,https://repository.arizona.edu/handle/10150/629470,Arizona has Oil & Gas Potential - Poster,"Rauzi, S.L.",2001,"Arizona Geological Survey, ",
,https://repository.arizona.edu/handle/10150/629471,Arizona has Oil & Gas Potential!,"Rauzi, S.L.",2001,"Arizona Geological Survey, Circulars (C)-29, 41 p.",
,https://repository.arizona.edu/handle/10150/629472,Arizona has Salt!,"Rauzi, S.L.",2002,"Arizona Geological Survey, Circulars (C)-30, 42 p.",
,https://repository.arizona.edu/handle/10150/629473,A Brief Overview of the Cretaceous Mancos Shale in Northeastern Arizona and its Hydrocarbon Potential,"Rauzi, S.L. and Spencer, J.E.",2013,"Arizona Geological Survey Open-File Report, OFR-13-08, 8 p.",
,https://repository.arizona.edu/handle/10150/629474,"Preliminary Geological Maps of the Western Harquahala Mountains, West-Central Arizona","Keith, S.B., Reynolds, S.J. and Richard, S.M.",1982,"Arizona Geological Survey Open File Report, OFR-82-06",24000
,https://repository.arizona.edu/handle/10150/629475,Geologic Map of Arizona,"Reynolds, S.J.",1988,"Arizona Geological Survey Map-26, 1:1,000,000",1000000
,https://repository.arizona.edu/handle/10150/629476,"Reconnaissance geologic map of the Merritt Hills, southwestern Yavapai County, Arizona","Reynolds, S.J., Spencer, J.E.",1985,"Arizona Geological Survey Open File Report, OFR-85-05",24000
,https://repository.arizona.edu/handle/10150/629477,"Geologic Map and Sections of the Granite Wash Mountains, West-Central Arizona","Reynolds, S.J., Spencer, J.E., Laubach, S.E., Cunningham, D. and Richard, S.M.",1991,"Arizona Geological Survey, M-30",24000
,https://repository.arizona.edu/handle/10150/629478,"Bibliography for Metallic Mineral Districts in Pima and Santa Cruz Counties, Arizona","Schnabel, L., Welty, J.W., Trapp, R.A. and Reynolds, S.J.",1986,"Arizona Bureau of Geology and Mineral Technology Circular C-26, 52 p.",
,https://repository.arizona.edu/handle/10150/629479,State Geological Survey Contributions to the National Geothermal Data System,"Allison, M.L. and Richard, S.M.",2012,"Arizona Geological Survey Open-File Report 12-06, 35 p.",
,https://repository.arizona.edu/handle/10150/629480,"State Geological Survey Contributions to the National Geothermal Data System: Accomplishments for Federal Fiscal Year 2012, October 1, 2011 to September 30, 2012","Allison, M.L. and Richard, S.M.",2013,"Arizona Geological Survey Open File Report, OFR-13-11, 38 p.",
,https://repository.arizona.edu/handle/10150/629481,"Low-Angle Tectonic Phenomena Between Tucson and Salome, Arizona","Keith, S.B., Reynolds, S.J., Rehrig, W.A., and Richard, S.M.",1981,"Arizona Geological Survey Open File Report, OFR-81-02, 116 p.",
,https://repository.arizona.edu/handle/10150/629482,"A Survey of Uranium Favorability of Paleozoic Rocks in the Mogollon Rim and Region, East-Central Arizona","Peirce, H.W., Jones, N. and Rogers, R.",1977,"Arizona Geological Survey, Circulars (C)-19, 83 p.",
,https://repository.arizona.edu/handle/10150/629483,Utilization of Municipal Waste Water for Froth Flotation of Copper and Molybdenum Sulfides,"Fisher, W.W., Rudy, S.",1976,"Arizona Geological Survey, Circulars (C)-17, 20 p.",
,https://repository.arizona.edu/handle/10150/629564,Fall 2015 Arizona Geological Society field-trip guide: Northern Plomosa Mountains and Bouse Formation in Blythe Basin,"Spencer, J.E. and Pearthree, P.A.",2015,"Arizona Geological Survey Open File Report, OFR-15-10, 24 p.",
,https://repository.arizona.edu/handle/10150/629565,"Geologic Map and Cross Sections of the Little Buckskin Mountains, La Paz County, West-Central Arizona: Arizona Geological Survey Contributed Map CM-11-B, version 1","Singleton, J.S.",2011,1,12000
,https://repository.arizona.edu/handle/10150/629566,Arizona Geological Survey Sunset Review Factors: 1 July 2001 to 30 June 2011,"Allison, M.L.",2011,"Arizona Geological Survey Open File Report, OFR-11-10, 46 p.",
,https://repository.arizona.edu/handle/10150/629567,"Geologic map of Yavapai County, Arizona",Arizona Bureau of Mines,1958,"Arizona Bureau of Mines County Geologic map series, 1:375,000",375000
,https://repository.arizona.edu/handle/10150/629568,"Earth Fissure Map of the Elfrida Study Area: Cochise County, Arizona",Arizona Geological Survey,2012,"Arizona Geological Survey Digital Map - Earth Fissure Map 24 v1.0 (DM-EF-24), 1:12,000",12000
,https://repository.arizona.edu/handle/10150/629569,"Earth Fissure Map of the Picacho Mountains SE Study Area: Pinal County, Arizona",Arizona Geological Survey,2016,Arizona Geological Survey Digital Map DM-EF-17 v 1.0,24000
,https://repository.arizona.edu/handle/10150/629570,Annual Report 1987,Arizona Geological Survey,1987,"Arizona Geological Survey Open File Report, OFR-87-13, 41 p.",
,https://repository.arizona.edu/handle/10150/629571,Rocks in the Chiricahua National Monument and the Fort Bowie National Historic Site,"Bezy, J.V.",2011,"Arizona Geological Survey Down-to-Earth Series #11, 48 p.",
,https://repository.arizona.edu/handle/10150/629572,"Potash Bed Mapping in the Paradox Basin, Northern San Juan County Utah","Rupke, A. and Boden, T.",2015,"Proceedings of the 48th Annual Forum on the Geology of Industrial Minerals, Phoenix, Arizona, April 30 – May 4, 2012. Arizona Geological Survey Special Paper #9, Chapter 8, 23 p.",
,https://repository.arizona.edu/handle/10150/629573,AGI’s Critical Issues Program – Pioneering a new approach to sharing societally-relevant science with state and local decision makers,"Gonzales, L., Rose, C., Mandler, B. and Boland, M.",2017,"Arizona Geology e-NewsMagazine, winter 2016-2017, 5 p.",
,https://repository.arizona.edu/handle/10150/629574,"Geologic map of the Sheep Basin Mountain Area, Northern Sierra Anchas, Gila County, Arizona: Arizona Geological Survey Contributed Map CM-91-E, ","Brady, Timothy B.",1991,,10000
,https://repository.arizona.edu/handle/10150/629575,"History of Helvetia-Rosemont Mining District, Pima County, Arizona","Briggs, D.F.",2014,"Arizona Geological Survey Contributed Report, CR-14-D, p.",
,https://repository.arizona.edu/handle/10150/629576,"History of the San Manuel-Kalamazoo Mine, Pinal County, Arizona","Briggs, D.F.",2014,"Arizona Geological Survey Contributed Report, CR-14-A, 9 p.",
,https://repository.arizona.edu/handle/10150/629577,Recovery of Copper by Solution Mining Techniques,"Briggs, D.F.",2015,Arizona Geological Survey Contributed Report (CR) -15-A.,
,https://repository.arizona.edu/handle/10150/629578,"Superior, Arizona - An Old Mining Camp with Many Lives","Briggs, D.F.",2015,"Arizona Geological Survey Contributed Report, CR-15-D, 13 p.",
,https://repository.arizona.edu/handle/10150/629579,The Access Road Program of the U,"Chenoweth, W.L.",1989,"S. Atomic Energy Commission in Arizona: Arizona geological Survey Contributed Reports, CR-89-A, 5 p.",
,https://repository.arizona.edu/handle/10150/629580,"The Carrizo ""Gold"" Mine: Arizona Geological Survey Contributed Reports, CR-89-B, 27 p","Chenoweth, W.L.",1989,,
,https://repository.arizona.edu/handle/10150/629581,"The Geology and Production History of the Sunlight and South Sunlight Uranium Mines, Navajo County, Arizona: Arizona Geological Survey Contributed Report CR-97-A, 15 p","Chenoweth, W.L.",1997,,
,https://repository.arizona.edu/handle/10150/629582,"Geology, Exploration and Production History of the Uranium-Vanadium Mines of George R","Chenoweth, W.L.",2018,"Simpson and Gloria Emerson, NW Carrizo Mtns., Apache County, Arizona. Arizona Geological Survey Contributed Report CR-18-E, 15 p.",
,https://repository.arizona.edu/handle/10150/629583,Landslides in Arizona: Just the facts,"Conway, F.M.",2017,"Arizona Geological Survey Fact Sheet, 2 p.",
,https://repository.arizona.edu/handle/10150/629665,,,,,
,https://repository.arizona.edu/handle/10150/629666,,,,,
,https://repository.arizona.edu/handle/10150/629667,,,,,
,https://repository.arizona.edu/handle/10150/629668,,,,,
,https://repository.arizona.edu/handle/10150/629669,,,,,
,https://repository.arizona.edu/handle/10150/629670,"Arizona’s Earth Fissure Mapping Program: Protocols, Procedures and Products","Shipman, T.C. and Diaz, M.",2008,"Arizona Geological Survey Open File Report, OFR-08-03, 13 p.",
,https://repository.arizona.edu/handle/10150/629671,,,,,
,https://repository.arizona.edu/handle/10150/629672,,,,,
,https://repository.arizona.edu/handle/10150/629673,,,,,
,https://repository.arizona.edu/handle/10150/629674,,,,,
,https://repository.arizona.edu/handle/10150/629675,,,,,
,https://repository.arizona.edu/handle/10150/629676,,,,,
,https://repository.arizona.edu/handle/10150/629677,,,,,
,https://repository.arizona.edu/handle/10150/629678,,,,,
,https://repository.arizona.edu/handle/10150/629679,,,,,
,https://repository.arizona.edu/handle/10150/629680,,,,,
,https://repository.arizona.edu/handle/10150/629681,Bedrock Geologic Map of the Northern Part of the Empire Ranch 7,"Ferguson, C.A.",2009,"5' Quadrangle, Pima County, Arizona. Arizona Geological Survey Open File Report, OFR-09-05",24000
,https://repository.arizona.edu/handle/10150/629682,"Bibliography for Metallic Mineral Districts in Gila, Maricopa, Pinal, and Yavapai Counties, Arizona","Welty, J.W., DeWitt, E. and Schnabel, L.",1989,"Arizona Geological Survey Circular 27, 85 p.",
,https://repository.arizona.edu/handle/10150/629683,,,,,
,https://repository.arizona.edu/handle/10150/629684,Bibliography of Earthquake Hazards in Arizona,"Beyer, S. and Pearthree, P.A.",1994,"Arizona Geological Survey Open File Report, OFR-94-03, 44 p.",
,https://repository.arizona.edu/handle/10150/629765,"Geologic Map of the Phoenix South 30' x 60' Quadrangle, Central Arizona","Skotnicki, S.J. and Reynolds, S.J.",1993,"Arizona Geological Survey Open File Report, OFR-93-18",100000
,https://repository.arizona.edu/handle/10150/629766,"Geologic map of the Picacho Mine Area, southeastern California","Richard, S.M. and Spencer, J.E.",1996,"Arizona Geological Survey Open File Report, OFR-96-30",10000
,https://repository.arizona.edu/handle/10150/629767,"Geologic Map of the Red Hill Quadrangle, La Paz County, Arizona","Richard, S.M.",1992,"Arizona Geological Survey Open File Report, OFR-92-14",24000
,https://repository.arizona.edu/handle/10150/629768,"Geologic Maps of Parts of the Gila Bend Mountains Near Woolsey Peak and Signal Mountain, Southwestern Arizona","Spencer, J.E. and Gilbert, W.G.",1997,"Arizona Geological Survey Open File Report, OFR-97-08",24000
,https://repository.arizona.edu/handle/10150/629769,Geology and geological hazards field trip of Sabino Canyon: results of the July 2006 storms,"Youberg, A. and Cook, J.P.",2008,"Arizona Geological Survey Open File Report, OFR-08-05, 13 p.",
,https://repository.arizona.edu/handle/10150/629770,,,,,
,https://repository.arizona.edu/handle/10150/629771,"Geology of the Fortuna Mine, Yuma County, Arizona","Richard, S.M., Ferguson, C.A., and Skotnicki, S.J.",1997,"Arizona Geological Survey Open File Report, OFR-97-16, 13 p.",
,https://repository.arizona.edu/handle/10150/629772,"Geology of the Hookers Hot Springs area, Galiuro Mountains, southeastern Arizona","Spencer, J.E., Johnson B.J. and Peters, L.",2015,Arizona Geological Open-File Report OFR-15-06 p.,
,https://repository.arizona.edu/handle/10150/629773,George M,"Brown, C.",2012,"Colvocoresses mining collection inventory. Arizona Geological Survey Open File Report, OFR-12-17, 20 p.",
,https://repository.arizona.edu/handle/10150/629774,Giant Desiccation Cracks in Arizona,"Harris, R.C.",2004,"Arizona Geological Survey Open File Report, OFR-04-01, 93 p.",
,https://repository.arizona.edu/handle/10150/629775,,,,,
,https://repository.arizona.edu/handle/10150/629776,,,,,
,https://repository.arizona.edu/handle/10150/629777,,,,,
,https://repository.arizona.edu/handle/10150/629778,,,,,
,https://repository.arizona.edu/handle/10150/629779,,,,,
,https://repository.arizona.edu/handle/10150/629780,,,,,
,https://repository.arizona.edu/handle/10150/629781,Graphics for core-complex morphology and geologic continuous casting,"Spencer, J.E.",2009,"Arizona Geological Survey Open File Report, OFR-09-03, 44 p.",
,https://repository.arizona.edu/handle/10150/629782,"Gravity and Magnetic Surveys at Brady Earth Fissure Picacho Basin, Pinal County Arizona: Raw Data","Slaff, S.",1993,"Arizona Geological Survey Open File Report, OFR-93-1b, 15 p.",
,https://repository.arizona.edu/handle/10150/629783,,,,,
,https://repository.arizona.edu/handle/10150/629784,,,,,
,https://repository.arizona.edu/handle/10150/629865,,,,,
,https://repository.arizona.edu/handle/10150/629866,,,,,
,https://repository.arizona.edu/handle/10150/629867,,,,,
,https://repository.arizona.edu/handle/10150/629868,,,,,
,https://repository.arizona.edu/handle/10150/629869,,,,,
,https://repository.arizona.edu/handle/10150/629870,,,,,
,https://repository.arizona.edu/handle/10150/629871,,,,,
,https://repository.arizona.edu/handle/10150/629872,,,,,
,https://repository.arizona.edu/handle/10150/629873,,,,,
,https://repository.arizona.edu/handle/10150/629874,,,,,
,https://repository.arizona.edu/handle/10150/629875,,,,,
,https://repository.arizona.edu/handle/10150/629876,,,,,
,https://repository.arizona.edu/handle/10150/629877,,,,,
,https://repository.arizona.edu/handle/10150/629878,,,,,
,https://repository.arizona.edu/handle/10150/629879,,,,,
,https://repository.arizona.edu/handle/10150/629880,,,,,
,https://repository.arizona.edu/handle/10150/629881,,,,,
,https://repository.arizona.edu/handle/10150/629882,,,,,
,https://repository.arizona.edu/handle/10150/629883,,,,,
,https://repository.arizona.edu/handle/10150/629884,,,,,
,https://repository.arizona.edu/handle/10150/629965,Sixteen 40Ar/39Ar geochronology analyses from southeastern Arizona,"Peters, L., Ferguson, C.A., Spencer, J.E., Orr, T.R., and Dickinson, W.R.",2003,"Arizona Geological Survey Open File Report, OFR-03-02, 46 p.",
,https://repository.arizona.edu/handle/10150/629966,,,,,
,https://repository.arizona.edu/handle/10150/629967,,,,,
,https://repository.arizona.edu/handle/10150/629968,,,,,
,https://repository.arizona.edu/handle/10150/629969,,,,,
,https://repository.arizona.edu/handle/10150/629970,State Geological Survey Contributions to the National Geothermal Data System: Annual Report 2010,"Allison, M.L. and Richard, S.M.",2011,"Arizona Geological Survey Open File Report, OFR-11-01, 46 p.",
,https://repository.arizona.edu/handle/10150/629971,,,,,
,https://repository.arizona.edu/handle/10150/629972,,,,,
,https://repository.arizona.edu/handle/10150/629973,,,,,
,https://repository.arizona.edu/handle/10150/629974,,,,,
,https://repository.arizona.edu/handle/10150/629975,,,,,
,https://repository.arizona.edu/handle/10150/629976,,,,,
,https://repository.arizona.edu/handle/10150/629977,,,,,
,https://repository.arizona.edu/handle/10150/629978,,,,,
,https://repository.arizona.edu/handle/10150/629979,,,,,
,https://repository.arizona.edu/handle/10150/629980,,,,,
,https://repository.arizona.edu/handle/10150/629981,,,,,
,https://repository.arizona.edu/handle/10150/629982,,,,,
,https://repository.arizona.edu/handle/10150/629983,,,,,
,https://repository.arizona.edu/handle/10150/629984,,,,,
,https://repository.arizona.edu/handle/10150/630065,Directory of Active Mines in Arizona,"Niemuth, N.J., Bain, D.R. and Kimbler, F.S.",2007,"Arizona Dept. of Mines and Mineral Resources D-51, 54 p., 1 map plate and 1 Google Earth kml file.",
,https://repository.arizona.edu/handle/10150/630066,"Geologic map of the southwestern part of the Tonto National Forest, Gila, Maricopa, Pinal and Yavapai Counties, Arizona","Richard, S.M. (compiler)",2015,"Arizona Geological Survey Digital Geologic Map, DGM-76 & DI-41",130000
,https://repository.arizona.edu/handle/10150/630067,"Partial database for breccia pipes and collapse features on the Colorado Plateau, northwestern Arizona, v 1","Spencer J.E., Wenrich, K.J. and Cole, T.",2015,"0. Arizona Geological Survey Digital Information, DI-42, 5 p., 1 map plate, shapefiles, and Excel Workbook.",
,https://repository.arizona.edu/handle/10150/630069,"Geologic Map Database for Aggregate Resource Assessment in the Phoenix Metropolitan Area and Surrounding Regions, Arizona","Pearthree, P.A., Gootee, B.F., Richard, S.M. and Spencer, J.E.",2015,"Arizona Geological Survey Digital Information DI-43, 11 p.",
,https://repository.arizona.edu/handle/10150/630070,Geologic map of the Arizona part of the Gene Wash 7,"Johnson, B.J., Spencer, J.E. and Pearthree, P.A.",2021,"5' Quadrangle, Mohave and La Paz Counties, Arizona. Arizona Geological Survey Digital Geologic Map DGM-110 v.2, 1 map plate,  .",24000
,https://repository.arizona.edu/handle/10150/630072,Geochemical databases for characterization of K-metasomatized Tertiary units in central-western Arizona,"Caudill, C.M.",2015,"Arizona Geological Survey Digital Information DI-45, 6 p., Shapefiles, Excel spreadsheets.",
,https://repository.arizona.edu/handle/10150/630073,A partial compilation and database of U-Pb geochronologic data and sample locations in Arizona and southeastern-most California,"Spencer, J.E., Ferguson, C.A., Johnson, B.J., Gehrels, G., Pecha, M. and Doe, M.",2015,"Arizona Geological Survey Arizona Geological Survey Digital Information DI-46, 2 p., Shapefiles, Excel Table and 2 appendices.",
,https://repository.arizona.edu/handle/10150/630074,Database for Mineral Districts in the State of Arizona -Based on Metallic Mineral Districts of Arizona,"Richard, S.M. (ed.)",2002,Digital Information DI-23.,
,https://repository.arizona.edu/handle/10150/630075,"Geologic Map of Bonita and Rhyolite Canyons, Chiricahua National Monument, Arizona","Pearthree, K.S. and Youberg, A.",2016,"Arizona Geological Survey Contributed Report, CR-16-F, 9 p, 1 map plate (",12000
,https://repository.arizona.edu/handle/10150/630076,,,,,
,https://repository.arizona.edu/handle/10150/630077,"Subsurface hydrogeologic investigation of the Superstition Vistas Planning Area, Maricopa and Pinal Counties, Arizona","Gootee, B.F., Cook, J.P., Young, J.J. and Pearthree, P.A.",2017,"Arizona Geological Survey Special Paper 11, 70 p., 2 Map Plates - 1:60,000 scale, 10 appendices, GIS data.",60000
,https://repository.arizona.edu/handle/10150/630078,"Geologic Map of the Northern Plomosa Mountains Metamorphic Core Complex, Arizona","Strickland, E.D., Singleton, J.S., Griffin, A.T.B. and Seymour, N.M.",2017,"Arizona Geological Survey Contributed Map CM-17-A,  1:10,000",10000
,https://repository.arizona.edu/handle/10150/630081,"Estimated Depth to Bedrock in Arizona: Arizona Geological Survey Digital Geologic Map DGM-52, version 1","Richard, S.M., Shipman, T.C., Greene, L.C., and Harris, R.C.",2007,0,1000000
,https://repository.arizona.edu/handle/10150/630082,,,,,
,https://repository.arizona.edu/handle/10150/630083,,,,,
,https://repository.arizona.edu/handle/10150/630084,,,,,
,https://repository.arizona.edu/handle/10150/630085,,,,,
,https://repository.arizona.edu/handle/10150/630086,,,,,
,https://repository.arizona.edu/handle/10150/630673,,,,,
,https://repository.arizona.edu/handle/10150/630674,"Reconnaissance Environmental Geology Maps of Northern Scottsdale, Maricopa County, Arizona","Péwé, T.L., Bales, J. and Montz, M.",2012,Arizona Geological Survey Contributed Map (CM) 12-B,24000
,https://repository.arizona.edu/handle/10150/630675,Arizona Oil and Gas Well Location Maps and Report,"Rauzi, S.L.",2012,"Arizona Geological Survey, Oil and Gas Program OG-12, 32 p. report",
,https://repository.arizona.edu/handle/10150/630676,"Hydrocarbon Possibilities in Yuma Area, Arizona","Brennan, D.J.",1989,"Arizona Geological Survey, Oil & Gas Conservation Commission OG-33.",
,https://repository.arizona.edu/handle/10150/630677,,,,,
,https://repository.arizona.edu/handle/10150/630678,"Thermal Gradient Anomalies, Southern Arizona","Giardina, Jr., S. and Conley, J.N.",1978,"Arizona Geological Survey, Oil & Gas (OG) -27, 49 p., scale 1:1,382,400, 3 sheets.",1382400
,https://repository.arizona.edu/handle/10150/630679,Selected Paleozoic Stratigraphic Sections in Arizona,"Koester, E.A.",1973,"Oil and Gas Conservation Commission, OG-25, 15 p., ",
,https://repository.arizona.edu/handle/10150/630680,"Subsurface Structure Maps, Eastern Mogollon Slope Region, East-Central Arizona",Arizona Oil and Gas Conservation Commission,1976,"Arizona Oil and Gas Conservation Commission OG-21, 18 p., 3 sheets",500000
,https://repository.arizona.edu/handle/10150/630681,Structure Map Southeastern Arizona,"Giardina, Jr. S.",1979,"Arizona Geological Survey, Oil and Gas OG-16",
,https://repository.arizona.edu/handle/10150/630682,"Geologic map of the Prescott Valley North 7 ½' Quadrangle, Yavapai County, Arizona: Arizona Geological Survey Digital Geologic Map DGM-92, version 2","Youberg, A., Spencer, J.E., and Cook, J.P.",2021,"0, scale  .",24000
,https://repository.arizona.edu/handle/10150/630684,Index of Maps Selected for Energy-Resource Investigations in the State of Arizona June 1976,"Conley, J.N., Scurlock, J.R. and Stacey, O.A.",1976,"Arizona Geological Survey, Oil and Gas (OG)-20, 1 p..",
,https://repository.arizona.edu/handle/10150/630685,Geologic Evaluation of the Tucson Basin for Carbon Dioxide Sequestration Potential,"Gootee, B.F.",2012,"Arizona Geological Survey, Open-File Report OFR-12-40, 11 p., 2 appendices, 3 plates.",
,https://repository.arizona.edu/handle/10150/630686,"Structure and Correlation Sections - Eastern Mogollon Slope Region, Arizona","Conley, J.N.",1977,"Arizona Geological Survey, Oil and Gas, OG-19, 4 plates.",
,https://repository.arizona.edu/handle/10150/630687,"Reconnaissance Environmental Geology of the Tonto Foothills, Scottsdale, Maricopa County, Arizona","Péwé, T.L., Kenny, R. and Bales, J.",2012,Arizona Geological Survey Contributed Map CM-12-Cs,24000
,https://repository.arizona.edu/handle/10150/630688,"Geologic Map of Petrified Forest National Park, Arizona","Martz, J.W., Parker, W.G., Skinner, L. and Raucci, J.J., Umhoefer, P., and Blakey, R.C.",2012,Arizona Geological Survey Contributed Map CM-12-A,5000018
,https://repository.arizona.edu/handle/10150/630689,"An Evaluation of Carbon Dioxide Sequestration Potential in Mohawk Basin, Gila River Trough, Southwestern Arizona","Gootee, B.F.",2013,"Arizona Geological Survey Open File Report, OFR-13-02, v 1.0, 8 p., 2 plates.",
,https://repository.arizona.edu/handle/10150/630690,Geologic Evaluation of Yuma Basin for Carbon Dioxide Sequestration Potential,"Gootee, B.F.",2013,"Arizona Geological Survey Open File Report, OFR-13-04, 17 p., 3 map plates and 3 appendices.",
,https://repository.arizona.edu/handle/10150/630691,"Geothermal Resources Evaluation Program of the Eastern San Francisco Volcanic Field, Arizona: Arizona Geological Survey Contributed Report CR-10-???,  69 p","Morgan, P., Sass, J.H., and Duffield, W.",2010,,24000
,https://repository.arizona.edu/handle/10150/630692,"Geologic map of Star Flat-Willow Springs Area, Pinal County, Arizona: Arizona Geological Survey Contributed Map CM-94-B,  5 p","Dickinson, William R.",1994,,24000
,https://repository.arizona.edu/handle/10150/630693,"Trace of Main Displacement Surface (Bedrock/Basin Fill Contact) of Pirate Fault Zone, West Flank of Santa Catalina Mountains, Pima and Pinal Counties, Arizona: Arizona Geological Survey Contributed Map CM-94-G,  10 p","Dickinson, William R.",1994,,24000
,https://repository.arizona.edu/handle/10150/630778,"Geology and geophysics of the Cienega Basin Area, Pima and Cochise Counties, Arizona","Richard, S.M. and Harris, R.C.",1996,"Arizona Geological Survey Open File Report, OFR-96-21",100000
,https://repository.arizona.edu/handle/10150/630782,"A reconnaissance of earth fissures near Stanfield, Maricopa, and Casa Grande, western Pinal County, Arizona","Harris, R.C.",1995,"Arizona Geological Survey Open File Report, OFR-95-06",24000
,https://repository.arizona.edu/handle/10150/630783,"Leasing and Mining of Carnotite Deposits in the 1920's, Carrizo Mountains, Apache County, Arizona and San Juan County, New Mexico: Arizona Geological Survey Contributed Report, CR-89-F, 48 p","Chenoweth, W.L.",1989,,
,https://repository.arizona.edu/handle/10150/630784,"The Geology and Production History of the Uranium Deposits in the Toreva Formation, Black Mesa, Apache County, Arizona: Arizona Geological Survey Contributed Report CR-90-A, 15 p","Chenoweth, W.L.",1990,,
,https://repository.arizona.edu/handle/10150/630785,"Uranium distribution in sediments of the Upper San Pedro Basin, southeast Arizona, and implications for indoor radon","Harris, R.C.",1995,"Arizona Geological Survey Open File Report, OFR-95-03",62500
,https://repository.arizona.edu/handle/10150/630786,"Surficial geology of the southern Verde Valley, Yavapai County, Arizona, Middle Verde, Camp Verde, and Horner Mountain Quadrangles","House, P.K.",1994,"Arizona Geological Survey Open File Report, OFR-94-23",24000
,https://repository.arizona.edu/handle/10150/630787,"Geologic map of the Salome 30' x 60' Quadrangle, West-Central Arizona","Richard, S.M., Spencer, J.E. and Reynolds, S.J.",1994,"Arizona Geological Survey Open File Report, OFR-94-17",100000
,https://repository.arizona.edu/handle/10150/630788,"Detailed geologic map and cross sections of the Big Horn and Belmont Mountains, West-central Arizona","Stimac, J.A., Richard, S.M., Reynolds, S.J., Capps, R.C., Kortemeier, C.P., Grubensky, M.J., Allen, G.B., Gray, F., and Miller, R.J.",1994,"Arizona Geological Survey Open File Report, OFR-94-15",50000
,https://repository.arizona.edu/handle/10150/630790,"Detailed geologic map and cross sections of the Ramsay Mine Area, southeastern Plomosa Mountains, West-central Arizona","Richard, S.M., Spencer, J.E.",1994,"Arizona Geological Survey Open File Report, OFR-94-14",12000
,https://repository.arizona.edu/handle/10150/630791,"A reconnaissance of earth fissures near Apache Junction, Chandler Heights, and southwestern Picacho Basin","Harris, R.C.",1994,"Arizona Geological Survey Open File Report, OFR-94-11",24000
,https://repository.arizona.edu/handle/10150/630793,Preliminary reconstruction of Miocene Extension in the Basin and Range of Arizona and adjacent areas,"Richard, S.M.",1994,"Arizona Geological Survey Open File Report, OFR-94-05",1000000
,https://repository.arizona.edu/handle/10150/630794,"Basic geologic and hydrologic information, Bradshaw Mountains, Yavapai County, Arizona","Scott, P.S.",1994,"Arizona Geological Survey Open File Report, OFR-94-02, 12 sheet, variable scale, 69 p.",
,https://repository.arizona.edu/handle/10150/630795,"Implications of Live Oil Shows in an eastern Arizona Geothermal test (1 Alpine-Federal), v","Rauzi, S.L.",2009,"2.0. Arizona Geological Survey Open File Report, OFR-94-01, 12 map plates, 18 p.",
,https://repository.arizona.edu/handle/10150/630796,"Surficial geology of the Northern Verde Valley, Yavapai County, Arizona","House, P.K., Pearthree, P.A.",1993,"Arizona Geological Survey Open File Report, OFR-93-16",24000
,https://repository.arizona.edu/handle/10150/630797,"Surficial geology of the Superstition Mountain Piedmont Area, northern Pinal and eastern Maricopa Counties, Arizona","Huckleberry, G.",1993,"Arizona Geological Survey Open File Report, OFR-93-15",24000
,https://repository.arizona.edu/handle/10150/630798,"Detailed surficial geologic map of the southern Piedmont of the Tortolita Mountains, Pima County, southern Arizona","Demsey, K.A., House, P.K. and Pearthree, P.A.",1993,"Arizona Geological Survey Open File Report, OFR-93-14",24000
,https://repository.arizona.edu/handle/10150/630880,"Bedrock Geology of the Santan Mountains, Pinal and Maricopa Counties, Arizona","Ferguson, C.A. and Skotnicki, S.J.",1996,"Arizona Geological Survey Open File Report, OFR-96-09",24000
,https://repository.arizona.edu/handle/10150/630881,"Compilation Geologic Map of the Central Gila Bend Mountains, Maricopa County, Arizona","Skotnicki,S.J.",1994,"Arizona Geological Survey Open File Report, OFR-94-18",50000
,https://repository.arizona.edu/handle/10150/630882,Compilation Geologic Map of the Daisy Mountain 7,"Leighty, R.S.",1998,"5' Quadrangle, Maricopa County, Arizona. Arizona Geological Survey Open File Report, OFR-98-22",24000
,https://repository.arizona.edu/handle/10150/630883,"Compilation of Unpublished USGS and University of Arizona K-Ar Dates of Volcanic Rocks of the San Francisco Volcanic Field, Northern Arizona","McKee, E.H., Damon, P.E., Shafiqullah, M., Harris, R.C., and Spencer, J.E.",1998,"Arizona Geological Survey Open File Report, OFR-98-02",100000
,https://repository.arizona.edu/handle/10150/630884,Complete Residual Bouguer Gravity Anomaly Maps,"Lysonski, J.C., Aiken, C.L.V. and Sumner, J.S.",1981,"Arizona Geological Survey Open File Report, OFR-81-24",250000
,https://repository.arizona.edu/handle/10150/630885,,,,,
,https://repository.arizona.edu/handle/10150/630886,,,,,
